 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2527.4      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 7637.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 346034.1 15379136.0    0.0     21248.0 14423.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3460761.2 15379136.0    0.0     27968.0 27620.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5652695.4 15379136.0    0.0     39104.0 38695.5      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   74248.3 5767232.0 995437.6 15379136.0    0.0     47744.0 47724.1      1    0.049   0      0.000    0.049
961152.0 961152.0  0.0   74248.3 5767232.0 3346180.4 15379136.0    0.0     48128.0 47990.0      1    0.049   0      0.000    0.049
961152.0 961152.0 93662.8  0.0   5767232.0 1403002.1 15379136.0    0.0     48128.0 48001.6      2    0.139   0      0.000    0.139
961152.0 961152.0 93662.8  0.0   5767232.0 4455318.9 15379136.0    0.0     48128.0 48030.9      2    0.139   0      0.000    0.139
961152.0 961152.0  0.0   149465.2 5767232.0 2263118.5 15379136.0    0.0     48128.0 48031.4      3    0.268   0      0.000    0.268
961152.0 961152.0 97161.2 149465.2 5767232.0 5767232.0 15379136.0    0.0     48128.0 48047.4      4    0.268   0      0.000    0.268
961152.0 961152.0 196831.2  0.0   5767232.0 3693109.0 15379136.0    0.0     48320.0 48218.9      4    0.447   0      0.000    0.447
300224.0 961152.0  0.0   273672.0 5767232.0 2009392.5 15379136.0    0.0     48320.0 48298.4      5    0.673   0      0.000    0.673
300224.0 368256.0 300223.2  0.0   6953024.0 4043625.7 15379136.0  18586.0   48320.0 48300.3      6    0.989   0      0.000    0.989
392192.0 282688.0  0.0   282656.2 6953024.0 189769.2 15379136.0  87074.4   48320.0 48300.8      7    1.361   0      0.000    1.361
392192.0 282688.0  0.0   282656.2 6953024.0 4883028.4 15379136.0  87074.4   48320.0 48301.6      7    1.361   0      0.000    1.361
392192.0 408896.0 289024.2  0.0   6871744.0 1835021.0 15379136.0  172578.4  48320.0 48303.7      8    1.654   0      0.000    1.654
392192.0 408896.0 289024.2  0.0   6871744.0 5696640.0 15379136.0  172578.4  48320.0 48305.9      8    1.654   0      0.000    1.654
403584.0 408896.0  0.0   249696.2 6871744.0 2273446.8 15379136.0  270322.6  48512.0 48402.4      9    1.933   0      0.000    1.933
403584.0 400256.0 120148.6  0.0   6885696.0 2293485.4 15379136.0  453874.7  48512.0 48414.3     10    2.219   0      0.000    2.219
406784.0 49472.0  0.0   49424.6 6885696.0 6738607.6 15379136.0  574087.6  48512.0 48438.0     12    2.411   0      0.000    2.411
420160.0 256.0   0.0   224.0  6857792.0 5135745.6 15379136.0  650871.7  48512.0 48443.0     13    2.488   0      0.000    2.488
414528.0 419328.0  0.0   288.0  6850048.0 4010168.4 15379136.0  650959.7  48512.0 48495.9     15    2.496   0      0.000    2.496
393728.0 405760.0  0.0   9760.1 6869248.0 2734189.0 15379136.0  654521.5  48512.0 48502.3     17    2.534   0      0.000    2.534
393728.0 379840.0 11792.4  0.0   6915968.0 2446760.3 15379136.0  663657.5  48704.0 48545.5     18    2.568   0      0.000    2.568
393728.0 379840.0 11792.4  0.0   6915968.0 5530105.7 15379136.0  663657.5  48704.0 48545.5     18    2.568   0      0.000    2.568
310080.0 333568.0  0.0   80864.1 6998976.0 6449416.2 15379136.0  780666.0  48704.0 48550.2     21    2.914   0      0.000    2.914
310080.0 288768.0 80704.1  0.0   7090688.0 2440753.9 15379136.0  853410.0  48704.0 48550.5     22    3.059   0      0.000    3.059
310080.0 288768.0 80704.1  0.0   7090688.0 6569146.9 15379136.0  853410.0  48704.0 48550.5     22    3.059   0      0.000    3.059
268608.0 255232.0 57347.2  0.0   7165696.0 2769336.7 15379136.0 1019583.0  48704.0 48552.0     24    3.351   0      0.000    3.351
243456.0 255232.0 160.0  51240.4 7165696.0 7165696.0 15379136.0 1113820.6  48704.0 48552.0     26    3.458   0      0.000    3.458
225664.0 238016.0  0.0   49550.8 7208064.0 6062172.7 15379136.0 1154684.6  48704.0 48554.8     27    3.634   0      0.000    3.634
217280.0 222272.0  0.0   256.0  7241600.0 3229277.0 15379136.0 1204203.3  48704.0 48558.3     29    3.683   0      0.000    3.683
217280.0 211072.0 192.0   0.0   7261184.0 3406449.1 15379136.0 1204267.3  48704.0 48561.6     30    3.693   0      0.000    3.693
217280.0 211072.0 192.0   0.0   7261184.0 5501686.1 15379136.0 1204267.3  49280.0 49179.7     30    3.693   0      0.000    3.693
219712.0 208640.0  0.0   208597.4 7261184.0 3111219.0 15379136.0 1318837.3  49280.0 49190.9     31    3.754   0      0.000    3.754
219712.0 260928.0 138836.9  0.0   7167680.0 2430490.5 15379136.0 1421310.2  49472.0 49288.9     32    3.807   0      0.000    3.807
