procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3 8127996 16219536   9048  65076    0    1    29    13    0    0  0  0 99  0  0	
 1  0 8127984 16138200   9644  77952    0    0  6560     0 2283 2902  6  1 88  6  0	
 1  0 8127972 16027388   9852  88988    0    0  5726    18 2880 3087  8  1 88  4  0	
 0  1 8127864 15835744   9872  98576  492    0  4926    50 3565 4915  7  1 86  6  0	
 0  4 8127852 15535044  10304 122840   16    0 12704     0 4917 7341 11  1 74 13  0	
 1 12 8127828 12124676  10312 214544    0    0 45710    66 8021 4505 44  4 34 18  0	
 3 12 8127816 10161196  10312 323808   22    0 54486     0 5426 3894 21  4 45 29  0	
 3 12 8127804 9707408  10312 456736    0    0 66624    78 6345 4405 27  3 41 29  0	
 3 13 8127796 9577580  10320 585292    0    0 64448    16 5461 4034 23  1 48 28  0	
 4 12 8127780 9301220  10804 699748   16    0 56894    10 5499 3788 24  3 47 26  0	
 3 12 8127768 9033740  10804 824484    0    0 62656     0 6268 4189 28  4 46 23  0	
 5 12 8127756 8915908  10816 942176    0    0 58880    44 5148 3954 21  1 52 26  0	
 3 12 8127748 8453372  10816 1069452   16    0 63568     0 6466 4149 28  7 43 22  0	
 8 11 8127736 7304132  10816 1193196    0    0 61632     0 6509 4148 28  7 42 23  0	
 3 13 8127720 7172824  10824 1322724   14    0 65104   130 5288 3954 24  1 54 21  0	
 4 13 8127696 6835800  10828 1476632   66    0 76880     0 7676 5508 24  2 44 30  0	
 2 15 8127680 6710660  10836 1600536    0    0 61856    16 5244 4000 22  1 58 19  0	
11  0 8127668 6304088  10844 1695076    0    0 47234    58 11180 5913 56  6 24 15  0	
12  0 8127648 6159128  10844 1695032   58    0   128     0 18826 9318 89  6  5  1  0	
12  0 8127636 6121080  10860 1695156    2    0     6   250 13046 6675 94  5  1  0  0	
12  0 8127628 6118568  10860 1695588   16    0   336     0 12785 6746 94  5  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  2 8127600 6082768  10868 1732088   12    0 18392     0 13353 7353 92  5  2  0  0	
 3  7 8127592 5970824  10984 1832452    0    0 50486    64 9363 5768 42  2 40 16  0	
 3 10 8127576 5854712  11008 1949028   16    0 57998     0 5820 4312 22  1 44 33  0	
 1 10 8127568 5718776  11016 2067168    0    0 59072    40 5765 3896 25  1 53 21  0	
 4 10 8127556 5596536  11016 2189968    0    0 61504     0 5210 3885 22  1 52 25  0	
 3 10 8127548 5409356  11016 2311140   16    0 60240     0 6001 4041 26  2 47 25  0	
 1 11 8127536 5231704  11024 2431940    0    0 60674    22 9055 4114 27  2 41 30  0	
 4 10 8127528 5114532  11024 2549124    0    0 58372     0 4934 3637 21  1 59 19  0	
 4  8 8127508 4910728  11028 2657336   44    0 54254     2 6083 4082 28  2 46 24  0	
 7  7 8127496 4731520  11036 2770052    0    0 56448    28 15194 6700 49  2 28 20  0	
 8  7 8127476 4563296  11036 2880156   32    0 55266     0 10584 5863 50  2 24 23  0	
 7  6 8127468 4390508  11036 2986080   16    0 52956   110 10833 5532 50  2 29 20  0	
 9  0 8127452 4263780  11044 3019224   16    0 16222    38 13497 6162 63  3 30  4  0	
 9  0 8127440 4210512  11048 3019900    0    0   322     0 13423 5953 65  3 32  0  0	
 7  0 8127432 4183548  11056 3019888    0    0     0    22 13509 5933 64  3 33  0  0	
 1  0 8127420 4133156  11056 3020544   30    0   350     0 8868 4011 35  1 64  0  0	
 1  0 8127408 4133280  11056 3020540    0    0     0    50 4082 3029  8  1 92  0  0	
 2  0 8127396 4133840  11064 3020548    0    0     0    28 3933 2750  8  1 92  0  0	
 0  0 8127388 4133328  11072 3021052   16    0   724     6 3682 2286  8  0 92  0  0	
11  0 8127372 4010516  11080 3026748    0    0  2722     0 3339 3756 11  1 87  1  0	
14  0 8127364 3835472  11088 3027860    0    0   192    46 14355 5577 81  3 16  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  3 8127352 3676188  11088 3047496   16    0  9936     0 25956 7337 79  6 14  1  0	
10  2 8127344 3491464  11088 3134708    0    0 43904     0 14631 7259 79  4  7 10  0	
 5  6 8127332 3312028  11100 3236472    0    0 50882    20 16725 8089 80  4  8  9  0	
13  6 8127312 3082332  11100 3354268   46    0 58734     0 14016 8493 62  3 18 17  0	
 9  6 8127296 2862016  11108 3483128    0    0 64640    26 14381 7996 71  3 10 16  0	
10  8 8127284 2608028  11108 3610616   48    0 63734    22 16895 6696 89  5  2  4  0	
 9  5 8127276 2428840  11108 3722304   16    0 55760     0 14490 7773 58  3 23 16  0	
12  7 8127264 2236644  11116 3848916    0    0 63106   106 13928 8798 56  2 20 22  0	
 6  4 8127256 2007348  11116 3967560    0    0 59458     0 11456 6092 57  2 24 17  0	
 5  6 8127248 1874536  11116 4099876   16    0 66068     0 8022 4904 36  1 41 22  0	
 3  3 8127236 1756596  11124 4218000    0    0 59008   106 5909 4063 26  1 55 19  0	
 2  1 8127216 1659644  11124 4314716    0    0 48390     0 5337 3781 21  1 65 13  0	
 0  0 8127208 1634372  11132 4339356    0    0 12224    40 2256 2186  6  0 91  2  0	
 0  0 8127196 1632216  11132 4339364   16    0    16     0  788 1516  0  0 100  0  0	
 0  0 8127188 1632016  11132 4339360    0    0     0     0  821 1588  0  0 100  0  0	
 0  0 8127176 1632024  11140 4339364    0    0     0    16  843 1594  0  0 99  0  0	
 0  0 8127112 1632296  11140 4339360   92    0    92     0  863 1625  0  0 100  0  0	
 0  0 8127100 1632436  11140 4339364    0    0     0     4  846 1562  0  0 100  0  0	
 0  0 8127092 1627732  11148 4339360    0    0     0    26  891 1578  0  0 99  0  0	
 0  0 8127080 1628152  11148 4339368   16    0    16     0  846 1599  0  0 100  0  0	
 0  0 8127068 1628028  11156 4339372    0    0     0    44  833 1568  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 8127060 1628292  11156 4339376    0    0     0     0  882 1603  0  0 100  0  0	
 0  0 8127048 1628284  11156 4339372   16    0    16     6  871 1585  0  0 100  0  0	
 0  0 8127040 1628284  11164 4339368    0    0     0    28  826 1574  0  0 99  0  0	
 0  0 8127028 1627788  11164 4339372    0    0     0     0  804 1549  0  0 100  0  0	
11  0 8127012 1582292  11176 4341820   16    0  1186    44 13424 8657 51  2 46  1  0	
12  0 8127000 1401228  11192 4341836    0    0     2    72 36404 23807 76  7 16  0  0	
15  0 8126988 1120880  11192 4341980    0    0    64     6 27783 14660 85  7  9  0  0	
13  0 8126976 1019176  11192 4345980   16    0  2064     0 17224 7687 94  5  1  0  0	
14  0 8126968 863044  11200 4363204    0    0  8896    20 14924 6481 94  4  2  0  0	
12  0 8126956 706928  11200 4383892    0    0 10176     2 13460 6208 93  5  3  0  0	
12  0 8126948 656244  11200 4407308    0    0 11712     0 12974 6478 95  4  1  0  0	
12  0 8126936 563616  11208 4429220   16    0 10832    22 12840 6202 93  4  3  0  0	
12  0 8126924 478360  11208 4452916   16    0 11856     0 13068 6475 95  4  1  0  0	
12  0 8126912 386836  11224 4474928   16    0 11088     0 15889 6637 90  4  5  0  0	
 9  0 8126900 282604  11240 4504088    0    0 14592    58 15295 7306 83  4 13  0  0	
11  0 8126892 236960   3148 4468268   18    0 14450     2 46170 9511 80  4 15  1  0	
12  0 8126868 240352   2848 4373128    6    0 10380    60 33093 9889 80 15  6  0  0	
12  0 8126860 244756   2840 4298880    0    0 13956     0 18179 9602 92  5  4  0  0	
 1  0 8126848 239732   2848 4213748   16    0 14336     0 24822 6036 75  9 15  0  0	
13  0 8126840 283580   2864 4090772    0    0  3458   164 53892 4049 48 39 13  0  0	
14  0 8126828 274736   2864 4076240    0    0  5638     0 19575 8564 93  5  2  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  1 8126820 296660   2456 3936676    0    0  6208   104 65681 6712 79 17  4  0  0	
15  0 8126804 261680   2440 3739880   16    0  3722    36 43434 5892 86 11  3  0  0	
12  1 8126796 219636   2452 3734068    0    0  9344     0 43452 6592 87  8  5  0  0	
 9  0 8126784 242384   2452 3648572    0    0 10250    38 12408 6065 75  2 22  1  0	
17  0 8126776 255264   2452 3582008   16    0  6416     0 45739 5193 61 17 21  0  0	
 8  0 8126764 236132   2452 3521876    0    0  7488     0 12418 5829 71  2 27  0  0	
 6  0 8126756 235136   2464 3473320    0    0  8384    32 11499 5503 58  2 40  0  0	
 2  0 8126744 268264   2480 3402152    0    0  7932     0 64496 4175 33  9 58  0  0	
 2  0 8126732 246612   2480 3420928    0    0  9600    22 4688 3025 17  0 83  0  0	
 1  0 8126720 220008   4048 3444836   24    0 12960    54 4659 3181 15  1 78  7  0	
 0  0 8126708 239400   4044 3424316    0    0  4770     2 2062 2103  6  0 94  0  0	
 1  0 8126700 239664   4044 3424312    0    0    10     0  837 1575  0  0 100  0  0	
 0  0 8126688 239620   4052 3424336    0    0     0    60  831 1592  0  0 99  0  0	
12  5 8126676 237372   4056 3388876    0    0  6750    30 3632 3168  7  1 89  3  0	
11  4 8126664 228952   4064 3287008    0    0 55232    44 19820 17246 43  3 33 21  0	
10  6 8126656 234884   4064 3257492    0    0 53794     8 29422 6834 70 16  7  7  0	
12  5 8126644 226360   3936 3061448    0    0 54042     0 59332 6519 77  9  7  8  0	
11  6 8126632 241352   3940 2990920   32    0 57314    22 48109 6735 77  8  4 10  0	
20  5 8126620 236288   3932 2937560    0    0 56642   124 16088 7600 83  5  3  9  0	
13  9 8126612 219372   3928 3009528    0    0 67478     0 17788 6310 88  7  3  2  0	
11  8 8126604 240248   3936 2914624   16    0 55038    22 58607 5838 86  8  3  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  5 8126576 227436   3928 2809104   12    0 52990     0 45706 14821 74  5 11 10  0	
11  6 8126564 293176   3936 2804324   16    0 50444    20 31496 16772 42 10 30 18  0	
 4  9 8126552 295096   3928 2785652   16    0 63298    20 22567 9707 45  6 28 21  0	
 4 10 8126532 242344   3996 2772064   32    0 57992     0 12787 4926 43  3 29 26  0	
 5  9 8126524 241340   3960 2700104   16    0 52940    34 40692 4499 36  7 35 22  0	
 3  8 8126516 239992   3960 2699656   16    0 63384     0 7832 4710 36  1 35 28  0	
 5  6 8126492 241480   3968 2697364   32    0 59260    18 7967 4777 36  1 42 21  0	
 2  0 8126480 242388   3960 2695916    0    0 44310    76 6260 3972 27  1 59 14  0	
 1  0 8126452 242884   3960 2695220    0    0  9464     0 4022 2811 15  0 84  0  0	
 0  0 8126444 242692   3968 2695216    0    0     0    32 1145 1691  2  0 98  0  0	
 0  0 8126420 242272   3968 2695204   16    0    16     0  842 1567  0  0 100  0  0	
 2  0 8126412 295088   3984 2616744    0    0  2444    38 9940 6778 21  1 77  1  0	
12  0 8126396 239080   3992 2623432    0    0  8108     0 59587 18325 41  6 53  1  0	
10  6 8126376 242844   3860 2524092    0    0 14870     0 88631 6801 62 22 14  2  0	
 9  8 8126364 229900   3840 2405976   16    0 32170    94 49695 6623 67 15 12  6  0	
 4  0 8126340 222596   3828 2427356    0    0 11664     0 15330 5604 33  6 48 13  0	
11  6 8126328 241772   3732 2301580   16    0 21584     0 24018 4450 43 10 42  5  0	
14  6 8126316 234380   2928 2113796   16    0 43468    70 41636 6131 75 11  5  9  0	
10  4 8126296 237328   2280 2028544   32    0 47114     0 13965 6124 70  3 13 14  0	
11  8 8126284 234228   2288 2009436   16    0 52564    48 70632 7341 58  8 17 16  0	
 5  9 8126264 234820   2276 1911980    0    0 59702     0 11697 5664 57  2 16 25  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 10 8126252 239836   2268 1770484    0    0 50242     0 35003 4766 44 14 17 25  0	
 5  0 8126244 227644   2276 1780944   16    0 44008   126 14690 12970 31  2 51 16  0	
 4 12 8126216 240972   2212 1682728   16    0 26606     0 66780 3748 35 19 39  6  0	
 4 11 8126208 242816   2236 1680124    0    0 58860    96 11586 4347 30  1 40 28  0	
 3 11 8128288 236536   2228 1573064    0 1052 53994  1052 18686 4065 31  7 38 23  0	
 3 14 8130212 236644   2196 1574536    0  966 53318   966 5550 3892 24  1 46 29  0	
 5  9 8130504 229260   2196 1428644    0  152 40014   204 146186 4107 33 25 22 21  0	
18  7 8133868 262144   2192 1355464    0 1694 45138  1694 43966 4123 29 16 35 20  0	
 6  8 8134756 240868   2200 1353180   48  458 57172   502 39440 4787 38  2 36 24  0	
 5 10 8135672 239548   2188 1233544   16  464 43706   464 37905 4689 43  8 30 19  0	
 4 10 8135652 238860   2188 1231128    0    0 59242     0 7250 4144 26  1 43 31  0	
 3 10 8135640 236740   2216 1163232    0    0 47600 37706 32939 3916 31 11 36 22  0	
 5 11 8135616 237708   2208 1162952    0    0 49588     0 5522 3759 24  1 44 32  0	
 1  1 8135604 232116   2208 1045588    0    0 31022   108 59418 3900 35  9 44 12  0	
 3  3 8135584 276624   2180 1015496   16    0 15014    74 5467 4281 16  1 76  7  0	
 2  5 8139624 232164   2184 1060864    0 2026 50460  2026 7772 3796 22  1 62 15  0	
 3  3 8139616 232452   2184 963756   16    0 35596 25532 52505 3521 27 12 49 12  0	
 6  2 8139592 241032   2180 954232    0    0 51348     0 5529 4047 23  1 57 19  0	
 2  3 8139584 234756   2184 760228   16    0 24180 53020 18187 3451 26  9 54 11  0	
 4  9 8139540 256368   2192 738984   28    0 30362 30926 5401 4339 23  1 44 32  0	
 6 15 8139504 229780   2192 688584   32    0 137876  6924 26733 10872 26  1 40 33  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  1 8143860 232700   2176 616512   96 2238 26548 24970 17357 3333 22  2 18 58  0	
 6 14 8145000 229312   2176 619112   16  576 56686   576 6191 3979 27  1 42 30  0	
 5 13 8146772 275024   2184 505584    0  896 59648  1008 35016 4270 30  6 35 29  0	
 6 15 8146836 200380   2184 581580    0   38 60830    38 8998 4213 28  1 44 27  0	
 5 15 8146852 230932   2184 467448   10   26 59198    26 12363 4277 35  2 29 33  0	
13 17 8146844 229516   2184 438088    4    0 56628     0 32735 4264 34  9 25 32  0	
 3 15 8146812 229880   2184 420592   18    0 58744     0 9550 4276 35  2 34 30  0	
 7 16 8146792 228224   2184 356372   16    0 58018     0 11462 4487 42  1 21 35  0	
 5 15 8146780 229996   2184 351412    0    0 58852     0 12187 4293 32  1 35 32  0	
 5 18 8182124 216160   2184 267452   18 17684 42472 17684 17712 4062 36  2 28 34  0	
 6 16 8188964 200460   2188 289512   50 3444 50444  3444 12452 4406 31  2 28 39  0	
 0 10 8201188 224332   1280 212992    0 6118 33616  6186 40740 3551 25 12 27 36  0	
 3 18 8201920 214980    844 240636   16  372 55450   448 8721 5253 25  1 41 32  0	
 2 12 8201920 205220    684 156608    0    0 46156     0 16098 3328 27  2 41 31  0	
 2 14 8215652 215392    548  90416    0 6866 40932  6866 17118 4605 20  2 46 32  0	
 2 19 8246072 200304    512 100536  154 15238 23604 15294 11862 2501  8  1 45 46  0	
 2 18 8247796 249680    520  95480   86  874 40572   874 13905 3191 22  2 35 41  0	
 1 16 8247728 215620    500 129672  204    0 40748     0 4999 3133 15  1 46 38  0	
 0  8 8247704 205260    500  87344  284    0 40204     0 14754 3993 23  1 41 34  0	
 3 18 8247676 205228    500  86592   80    0 47408     8 9085 3548 18  1 38 43  0	
 0 26 8285304 200764    508  38080    0 18820 45746 18928 7927 3676 19  2 29 50  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 14 8287736 202000    492  48192   32 1222 20956  1376 4927 2482 14  2 42 42  0	
 4 12 8287708 200404    492  51296   16    0 52176     0 6638 3555 20  1 49 29  0	
 3 17 8287700 200820    500  37468   32    0 52756    30 6985 3607 23  1 42 34  0	
 4 13 8287680 202048    500  38136   16    0 56480     0 7311 3556 22  2 54 22  0	
 2 10 8287664 200876    496  40192   16    0 49978    68 6475 3638 22  1 44 33  0	
18  7 8287656 203852    504  36196   16    0 60142    28 6979 3905 24  1 54 21  0	
 3  4 8287632 200552    504  40492    0    0 56002     0 7072 3951 24  1 48 27  0	
 4 15 8287624 204264    512  34924    0    0 31550     0 5033 3831 15  1 60 24  0	
 5 15 8298228 211232    544  57228   16 5308 33934  5470 13581 7224 34  2 27 37  0	
 1 13 8373512 199824    536  30920    0 37656 24754 37750 14789 12388 11  2 51 36  0	
 3 12 8383620 200056    536  33788    0 5062 45296  5124 7943 3341 15  2 48 35  0	
 9 15 8461168 272332    540  35300    0 38788 18896 38946 7056 4250 15  2 44 39  0	
 5 17 8467308 247484    540 129956    0 3074 47898  3078 12927 7837 30  2 37 31  0	
 6 18 8467284 200048    540  91712    0    0 46246     0 9979 3666 30  2 35 33  0	
 2 19 8467376 201056    540  91716    0   50 42518    50 7742 3326 20  1 42 36  0	
 0 16 8472372 200312    540 100876    0 2512 47962  2512 10728 3654 28  2 35 35  0	
 0 17 8516084 202236    560  41060    0 21862 11898 21960 5560 2461  4  3  9 84  0	
15 19 8605596 200324    580  55628   16 44760 13220 44904 28396 4232 39  6  5 51  0	
 6 21 8605688 220848    920  51220    0   58 44958    58 18271 4194 49  2 13 35  0	
 0 22 8629848 199920    632  42888    0 12084 31086 12092 9194 3363 17  3 19 61  0	
 7 15 8749720 212400    664  64672    0 59948 12486 60094 23678 3335 20  9 17 53  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 30 8753808 200580    668  76272    0 2048 44018  2048 16083 3966 37  2 24 37  0	
 5 24 8773564 201128    680  38324    0 9884 35294  9968 9123 3562 29  2 28 42  0	
 2 20 8796996 200668    700  66416    0 11720 31994 11726 10130 4242 52  2  8 38  0	
 2 19 8796996 200584    700  65916    0    0 50644     0 9336 3179 24  2 25 49  0	
 7 18 8810328 202532    708  40304   46 6672 29598  6782 7773 2825 23  1 11 64  0	
 2 14 8811304 200108    672  45928  444  562 30336   564 6407 3234 27  2 24 47  0	
 2 12 8811540 202552    684  42732  304  124 45788   124 5498 3064 17  2 39 43  0	
16  9 8811380 200288    724  78936  626    0 23276 20786 6121 3640 18 15 42 25  0	
 1 14 8814448 201372    740  91252   22 1540 19832 16152 8376 5034 11 26 11 52  0	
11  8 8868720 200752    744  57800   20 27150  1482 31954 14548 3955  5 15 23 57  0	
 2 19 8921272 200980    756  84868    0 26282  9018 51932 38047 4078 14 13 14 59  0	
 3 17 8921264 200404    776 102872    0    0 10076 31602 6939 3687 22  9 14 55  0	
 0 19 8921240 200180    788 105760    0    0 21904 10758 5201 3268 16  1 20 63  0	
 2  5 8921232 201104    792 105568    0    0 30308 11686 5379 3341 19  1 37 44  0	
 2  5 8924236 208908    764  60960   16 1512 38924  9050 8473 3903 30  4 43 23  0	
 5 13 8943136 200476    780  83536   16 9456 10620 32200 8228 3076 16  1 45 39  0	
 1 13 8943776 201300    792  81696    4  324 25188  5446 28553 2763 15  1 43 40  0	
 3 15 8943748 200316    792  83824    6    0 27382    80 9718 2460  7  1 50 42  0	
 1 17 8977312 202144    792  91552    8 16786 20718 16786 18146 2360  9  1 53 38  0	
 5 13 8982448 200384    712 112232   12 2574 22772  2736 14758 2026  5  1 51 43  0	
 0 13 8982424 216304    724  99280   28    0 22944    28 9720 2224  7  1 58 35  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 8982416 201552    716 116212    4    0 19678   100 5031 2239  5  0 73 22  0	
 1  1 8982392 209652    708 107452   18    0   228     0  746 1501  0  0 91  8  0	
 0  1 8982384 218084    716  98384    4    0   122    26  814 1543  0  0 91  9  0	
 1  5 8994628 227960    864 102404   34 6130  7720  6130 1918 2574  3  1 76 20  0	
 1  5 9011824 200728    692 122316    8 8612 31212  8768 14401 6234 17  2 55 26  0	
 1  8 9046136 226196    700 136988    4 17160 31854 17262 17954 4120  6  2 64 27  0	
 1  9 9047064 200264    480 137672   22  476 42110   568 43552 4356 12  2 53 33  0	
 1 18 9057672 254028    628 124940  110 5312 26030  5312 14252 3882 14  2 31 53  0	
 2  4 9123648 203752    728  62272   62 33000  5956 33076 160481 3014 22  7 20 51  0	
 1 19 9131296 200340    664  70604   32 3840 23458  3920 5567 2536  9  1 49 41  0	
 1 17 9131280 200144    656  68916   42    0 28762     6 11400 2505  9  1 50 41  0	
 0 21 9131244 200368    664  69832   34    0 30118     0 14498 2719 12  1 34 54  0	
 4 20 9131228 200040    692  67176   16    0 24278     0 12918 2723 12  2 26 60  0	
 0 28 9141968 199964    708  43088   16 5390 32582  5390 12521 3170 19  2 36 42  0	
 1 19 9200788 200156    724  39732   16 29428  5368 29544 3228 1902  1  2 40 58  0	
 2 15 9309720 200704    696  43676   16 54474  7920 54614 4452 3518  2  4 21 72  0	
 4 16 9322108 200588    708  51064   16 6216 39436  6280 21000 4306 57  3 13 26  0	
 9 24 9322076 200108    708  42328   80   10 41726    10 11660 3566 18  4 35 43  0	
 3 24 9418984 200224    724  42716   40 48460  3824 48602 8795 2271  1  4 11 84  0	
 2 12 9466804 200272    816  47064 1176 24120  4972 24254 10620 2545  1  6 17 77  0	
 1 20 9513040 200096    816  49216  226 23146 29050 23196 11848 3539 21  5 36 38  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 17 9517032 200692    824  52960  118 2048 35734  2086 6018 2925 13  1 45 40  0	
 0 28 9531304 200760    824  38364  494 7172 28790  7240 25985 2576 11  2 24 63  0	
 4 15 9549448 200248    824  60796  108 9118 34252  9120 7392 3037 19  2 31 48  0	
 2 20 9549396 200020    824  61736  136    0 52922    40 9101 3723 20  2 29 49  0	
 2 19 9610508 204188    832  32396 1632 30960 137254 31064 31615 14541 18  2 37 43  0	
 1 24 9616144 200920    816  97340  130 2864 39324  2896 4419 3037 15  1 13 70  0	
 1 24 9616072 200708    820  85952  134    0 44516     2 8673 3362 21  2 19 58  0	
10 18 9616732 199976    820  85912  148  372 36650   372 7278 3161 21  1 17 61  0	
 1  3 9647732 200704   1196  82608 1522 16012 191986 16036 43933 21465 32  1 41 25  0	
 1  3 9702228 204588   1196 104688 1036 27648 18560 27648 3405 2599  7  2 71 21  0	
 6  3 9788056 268036   1228 127428  480 43008 12626 43060 3921 3076 14  2 70 13  0	
 4 10 9796832 215364   1236 176344 2446 4608 26840  4608 16486 4978 30  2 35 34  0	
 1 11 9796800 200632    896  50180    8    0 55180   128 29518 20451 28  4 40 28  0	
 2 18 9796784 206308    896 156612    0    0 56396     0 10397 7097 31  2 39 29  0	
 4 15 9864480 200172    820  45796  148 33980 102144 34066 96267 9549 33  2 34 31  0	
 3 16 9864332 200924    824  44904   46    0 47586     0 8389 3625 23  1 37 38  0	
 0  4 9893256 201360    832  43620  122 14514 14678 14606 4111 2294 10  1 16 72  0	
 4 15 9892908 202252    836  38120  410    0 48848     2 7448 4123 27  1 41 32  0	
 4 25 9907816 200268    836  32784  142 7520 40514  7582 6075 3430 20  1 43 35  0	
 0 22 9962468 200324    844  32224  168 27410  6806 27562 3122 2375  1  1 33 65  0	
 3 17 9983112 207260    956  35036  128 10460 40322 10534 12173 3914 34  2 28 36  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 23 9991644 200308    892  34708  118 4376 50284  4430 10281 4593 20  1 34 44  0	
 4 16 10015276 205120    900  42588   96 11876 23444 11998 7271 4162 30  5 24 40  0	
 5 15 10014784 201156    900  46376  302    0 41560     2 6082 3247 18  1 48 33  0	
 0 26 10033964 200052    988  36592   80 9738 33902  9876 6342 3282 18  1 38 43  0	
 4 14 10066716 200592    920  52692    4 16406 29494 16512 6407 3962 21  5 25 48  0	
 6 16 10066644 200172    928  52028  108    0 46612    46 8172 3508 20  1 35 43  0	
 0 24 10102876 200048    928  35796   16 18132 33954 18232 5786 3271 14  2 41 43  0	
 8  7 10203736 200112    928  52016   16 50454 12644 50522 8874 3709  2  7 37 55  0	
 4 13 10203840 200856    932  54392   16   64 50444    72 9020 4323 34  6 32 27  0	
