procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 162644 30289676   4624 100716    0    1    28    14    0    1  0  0 99  0  0
 0  0 162644 30222716   4720 120140    0    0  9124     4 1484 1376  5  0 89  5  0
 0  0 162644 30219880   4720 122268    0    0  1024     0  442  612  0  0 100  0  0
 0  0 162644 30217980   4724 124316    0    0  1026     8  421  594  0  0 100  0  0
 0  0 162644 30215880   4724 126364    0    0  1024     0  430  582  0  0 100  0  0
 1  0 162644 30213640   4728 128404    0    0  1026     0  446  565  0  0 100  0  0
 0  0 162644 30212316   4736 130452    0    0  1024    96  445  589  0  0 100  0  0
 0  0 162644 30210596   4740 132508    0    0  1026     0  465  583  0  0 100  0  0
 0  0 162644 30208240   4740 134552    0    0  1024     0  461  585  0  0 100  0  0
 1  0 162644 30172620   4792 145172    0    0  5414     0 1172  969  4  0 94  3  0
 1  1 162644 30050260   4812 160956    0    0  8056     0 2605 3468  9  0 88  3  0
 0 12 162644 29795608   4932 180344    0    0  9182     8 3022 6116 11  1 76 12  0
 8 10 162644 27003804   5052 275764    0    0 47672     0 3328 3191 44  6 28 21  0
 2 12 162644 24355156   5176 395604    0    0 59950     0 1884 1937 23  5 44 27  0
 3 14 162644 23883336   5300 531296    0    0 68200   266 1801 1943 26  1 42 31  0
 4 12 162644 23689160   5464 693556    0    0 81280     6 2007 2055 22  1 53 23  0
 2 14 162644 23370588   5612 845688    0    0 76362    62 1979 1847 30  1 40 29  0
 4 13 162644 23076212   5772 967040    0    0 60996     0 1887 1824 27  1 41 31  0
 4 11 162644 22623132   5916 1103320    0    0 67628    78 1934 1805 28  1 42 28  0
 7 12 162644 22472680   6064 1244788    0    0 70674     0 1913 2052 24  1 43 32  0
 4  9 162644 21317868   6188 1382964    0    0 69006     0 2159 1951 33  3 38 26  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7 11 162644 20909536   6364 1550684    0    0 83324    60 2955 2809 37  1 35 28  0
 6  9 162644 20641208   6508 1698412    0    0 74392     0 2423 2253 42  1 33 24  0
13  0 162644 20234696   6616 1806024    0    0 53256     0 5777 4000 61  2 29  8  0
13  0 162644 20097560   6656 1852672    0    0 23190     0 3858 4422 79  2 19  0  0
14  1 162644 19930092   6776 1898956    0    0 23416     0 3926 5035 95  4  1  0  0
