procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3 17606536 25776376   4576 198208    0    1    27    75    1    0  0  0 99  0  0
 1  1 17606536 25699036   4912 207228    0    0  4598   252 1570 3902  8  1 87  4  0
 1  0 17606508 25620552   4932 215236    0    0  4180   474 1639 4736  9  1 88  2  0
 1  0 17606508 25485940   5068 223228    0    0  3728   442 1604 6172 10  1 86  3  0
14  0 17606212 25189812   5212 240556  256    0  8930     0 1592 7227 20  1 73  6  0
 3 11 17606168 22944532   5288 300996   16    0 30406     0 1267 4187 20  4 53 23  0
 2 10 17606164 21031624   5368 360608    0    0 29644   136 1258 3999 12  3 71 14  0
 2 12 17606140 19948712   5428 423468    0    0 31478   682 1303 4070 14  2 68 15  0
 1 11 17606136 19735480   5480 482728    0    0 29634     0 1255 3943 11  1 65 23  0
 1 11 17606112 19513832   5556 543380   32    0 30362    60 1266 4044 11  0 70 18  0
 3 12 17606064 19290600   5624 609140   16    0 33036     6 1275 4293 16  1 64 20  0
 1 11 17606064 19214176   5712 684848    0    0 37806    60 1313 4228 14  0 67 19  0
 1 11 17606040 18949620   5768 754616   16    0 35004     6 1291 4114 18  1 60 21  0
 2 12 17606036 18880924   5832 821564    0    0 33440     0 1278 4096 12  0 71 16  0
 3 11 17606016 18790840   5908 889860    0    0 34362    68 1289 4124 14  1 69 17  0
 1 12 17605836 18588232   5996 959432  162    0 34740     0 1380 4086 18  1 58 23  0
 1 12 17605796 18520892   6048 1025680   16    0 33324     8 1307 4063 11  1 62 26  0
 1 12 17605772 18129904   6144 1092684    0    0 33348    82 1292 4034 19  2 65 15  0
 1 12 17605744 18058052   6208 1161388   26    0 34554     0 1329 4157 12  1 73 15  0
 1 12 17605724 17988268   6300 1230048   18    0 34260    64 1356 4091 12  0 74 13  0
10  4 17605680 17046552   6372 1299140   32    0 34644   136 1370 4027 17  2 63 18  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 11 17605672 16895300   6468 1375832    0    0 38382    64 1391 4097 18  1 58 24  0
 4 13 17605648 16816188   6540 1453708   16    0 38996     0 1363 4149 14  1 67 18  0
 3 12 17605644 16471748   6712 1522268   14    0 34520   184 1462 4244 26  2 52 21  0
 2 12 17605616 16404536   6788 1588656   16    0 33292     0 1377 4464 20  1 43 36  0
 3  9 17605572 16229888   6864 1656944   16    0 34108    10 1421 4563 35  1 46 17  0
 9  5 17605572 15959488   6944 1720444    0    0 31912    96 1654 5048 43  2 41 14  0
12  3 17605548 15807856   7024 1787528   16    0 33426     8 1372 5410 82  6  4  9  0
 3  2 17605544 15688508   7076 1839684    0    0 26136    84 1375 5382 90  6  2  2  0
21  0 17605520 15572204   7140 1895696   16    0 28056     6 1320 5570 89  6  4  0  0
13  1 17605472 15509860   7184 1943432   16    0 23654     0 1244 5621 93  6  1  0  0
12  1 17605464 15432708   7268 1988080    0    0 22622   196 1335 5634 92  6  2  0  0
 5  2 17605440 15349688   7336 2048796   16    0 30260     2 1610 5267 59  3 35  4  0
 3  0 17605436 15293384   7408 2091200    0    0 21280   112 1393 4498 30  1 66  3  0
 2  0 17605416 15291396   7424 2093012    0    0   712    24 1091 3635 17  0 82  0  0
10  0 17605372 15264676   7432 2092932   32    0    32   130 1125 3553 15  0 85  0  0
 0  1 17605368 15263004   7448 2094080    0    0   544     0 1145 3340  5  0 95  0  0
 0  0 17605340 15262076   7456 2095184   28    0   584   146 1120 3106  0  0 100  0  0
 0  0 17605332 15262304   7464 2095112    0    0     0    56 1022 3161  0  0 100  0  0
 0  0 17605312 15262468   7468 2095108   16    0    18     0 1017 3006  0  0 100  0  0
 0  0 17605264 15261684   7484 2095484   32    0   420    58 1086 3111  0  0 100  0  0
11  0 17605264 15059712   7500 2097672    0    0  1022     0 1228 5511 30  1 69  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  1 17605236 14896276   7500 2098772   16    0   528    12 6246 4828 90  4  6  0  0
 9  0 17605236 14658932   7536 2125288    0    0 13646   140 12569 6165 71  6 21  1  0
 9  2 17605180 14399760   7612 2192084   40    0 33358     8 5002 5787 68  4 24  4  0
 1  8 17605132 14178496   7680 2264696   32    0 36314    32 7567 6623 57  4 30  9  0
 2  7 17605128 14138844   7768 2332480    0    0 33808    64 12000 12952 16  2 62 20  0
 3  9 17605100 14052952   7840 2400364   32    0 34204     6 7067 8136 17  1 60 22  0
 5  9 17605100 13986712   7916 2468736    0    0 33930    70 5097 6862 14  1 66 19  0
 4 11 17605076 13701452   8004 2538204   16    0 35028     0 3666 6128 17  2 55 26  0
 2 11 17605028 13631352   8072 2608412   32    0 34790    64 1315 4039 15  1 69 16  0
 1 11 17605028 13538640   8148 2677596    0    0 34880     0 3543 4112 20  1 66 13  0
 3 11 17605004 13406284   8220 2750284    0    0 36476    24 1330 4103 16  1 60 23  0
 1 10 17605000 13336804   8456 2821396    0    0 35414   356 1487 4203 15  1 71 14  0
 2 11 17604976 13271960   8528 2887140   16    0 32780   108 1290 3969 13  0 66 21  0
 1 10 17604932 13205504   8592 2954040   32    0 33432     0 1328 4102 14  1 66 19  0
 2  9 17604928 13140120   8660 3019432    0    0 32966    68 1337 3993 13  0 69 18  0
 1  9 17604904 13072156   8732 3087660    0    0 34084     0 1279 3996 14  0 75 11  0
 1  9 17604900 13003760   8808 3156232    0    0 34274    58 1281 4039 15  0 66 19  0
 1 10 17604880 12927388   8880 3231832    0    0 38116    14 1295 4008 16  0 59 24  0
 1  9 17604832 12845652   8952 3309464   48    0 38590     0 1309 4108 16  1 51 32  0
 1  9 17604824 12774076   9028 3379748    0    0 35324   136 1296 4034 15  1 65 19  0
 2  8 17604796 12703392   9092 3450652   16    0 35420     6 1420 4164 15  0 66 19  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  6 17604784 12632244   9180 3520584    0    0 34908   168 1341 4028 15  1 73 12  0
 1  3 17604768 12562236   9240 3590236   16    0 34968     6 1407 4138 15  1 65 19  0
 1  0 17604708 12503228   9292 3648780   30    0 29282     0 1335 3803 12  0 81  6  0
 0  0 17604708 12475668   9324 3676120    0    0 13646    78 1164 3382  5  0 94  0  0
 1  0 17604668 12475972   9328 3676120   16    0    16     0 1074 3202  0  0 100  0  0
 3  0 17604640 12424392   9340 3677732   38    0   806   134 11764 9250 32  1 66  0  0
 2  0 17604620 12387296   9340 3677784    0    0     0    26 24887 22248 10  3 87  0  0
10  0 17604576 12392208   9352 3680936    8    0  1708     0 20408 15677 53  5 42  0  0
 2  0 17604572 12339804   9368 3691200   16    0  5140   102 8969 7120 87  5  7  0  0
12  0 17604544 11999368   9380 3701820   20    0  5274   156 4721 6507 89  5  6  0  0
13  0 17604540 11919700   9408 3723020    0    0 10634    62 3410 4978 94  5  1  0  0
15  0 17604520 11872236   9424 3738948   16    0  7960     2 1747 4855 95  4  1  0  0
12  0 17604456 11770844   9444 3755876   48    0  8698     0 1957 4980 94  5  1  0  0
12  0 17604448 11678420   9468 3776504   12    0 10388    56 1290 5161 93  4  2  0  0
13  0 17604412 11617732   9492 3797100   16    0 10332    16 2019 5024 94  4  2  0  0
18  0 17604408 11571908   9516 3814120    0    0  8520    74 2667 4805 94  4  2  0  0
16  0 17604380 11511016   9532 3834116    0    0  9864     8 1176 4935 94  4  1  0  0
10  0 17604328 11433564   9556 3853860   16    0  9884     0 1156 5001 94  4  2  0  0
 9  0 17604320 11346564   9592 3871640    0    0  8842    68 1292 4799 88  3  9  0  0
 8  0 17604288 11262904   9632 3901012   32    0 14834     6 5566 7442 68  3 28  0  0
 6  0 17604264 11151776   9748 3929432   12    0 14250   252 7643 9398 69  4 27  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 17604244 11087840   9764 3941004   16    0  5716     0 5902 7807 36  2 62  0  0
 4  0 17604184 11086268   9772 3941272   16    0    16   118 5615 8129 25  1 74  0  0
 5  0 17604184 10966380   9772 3941276    0    0     0     0 7735 9710 33  2 66  0  0
 6  2 17604148 10817528   9812 3974652   16    0 16676    26 1999 5539 50  2 48  0  0
 5  0 17604148 10706524   9856 4009980    0    0 17744    82 1319 4647 50  2 48  0  0
 4  0 17604124 10631084   9896 4047328   32    0 18738    84 1282 4447 43  1 56  0  0
 3  0 17604072 10549024   9944 4086020   16    0 19426    82 1334 4197 33  1 66  1  0
 3  0 17604068 10504156  10008 4127588    0    0 20832    94 1301 4179 25  1 73  2  0
 3  0 17604044 10429808  10048 4166144   16    0 19236     8 1176 3887 28  1 71  1  0
 1  0 17604040 10386728  10100 4204184    0    0 18964   150 1503 4225 22  1 76  2  0
 0  0 17604020 10387204  10104 4204116   16    0    16    12 1088 3239  0  0 99  0  0
 0  0 17603964 10387460  10112 4204076   32    0    32    98 1076 3091  0  0 100  0  0
 0  0 17603960 10387712  10112 4204116    0    0     0     0 1012 3125  0  0 100  0  0
 0  0 17603936 10388152  10120 4204108   16    0    20     8 1042 3152  0  0 100  0  0
10  0 17603932 10224360  10136 4204308    0    0    86   126 4561 6028 41  2 57  0  0
11  0 17603908 10128592  10136 4204388    0    0     0     6 24438 15745 74  7 18  0  0
13  0 17603852 10117532  10152 4209660   16    0  2834    68 14986 11128 88  6  6  0  0
 9  0 17603848 9787088  10172 4230176   16    0 10266     0 6597 6396 77  5 18  0  0
14  0 17603820 9809308  10192 4249468    0    0  9610     0 7587 8180 81  5 14  0  0
 8  0 17603820 9642656  10220 4271860    0    0 11082    76 8254 9339 76  5 20  0  0
 9  0 17603796 9592460  10244 4297900   16    0 13404    24 13080 15076 67  4 29  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 17603740 9514840  10272 4325324   32    0 13424     0 16618 18231 60  4 36  0  0
11  0 17603732 9299888  10316 4359096   16    0 16930   108 4301 7343 77  4 17  2  0
 8  0 17603696 9347000  10340 4381252   16    0 11036   138 2025 5371 79  3 18  0  0
 8  0 17603696 9237024  10368 4405844    0    0 12298    70 5526 8172 65  3 32  0  0
 9  0 17603672 9254960  10396 4431496   16    0 12980     4 5947 8612 61  2 37  0  0
 4  0 17603620 9165688  10444 4480284    0    0 24282     0 3969 6973 49  2 45  5  0
 2  0 17603608 9067336  10496 4527284    0    0 23574    84 1438 3877 24  1 72  3  0
 2  0 17603572 9031600  10532 4562448   32    0 17650    14 1160 3496 17  0 83  0  0
 1  0 17603572 8999808  10704 4598076    0    0 17776   304 1254 3511 13  0 86  1  0
 0  0 17603544 9000536  10704 4598616   32    0   352     8 1064 3120  0  0 99  0  0
 0  0 17603492 9001072  10704 4598616   16    0    16     0 1023 3213  0  0 100  0  0
13  0 17603484 9000508  10724 4598604    0    0     0    70 1196 4111  6  0 93  0  0
11  0 17603460 8895396  10724 4598696   16    0    16     6 20108 12558 78  6 16  0  0
11  0 17603456 8429672  10732 4598700    0    0     0   132 21180 14052 76  8 16  0  0
11  0 17603436 8173256  10732 4598688   16    0    16     0 11314 11709 76  5 19  0  0
11  0 17603376 8058896  10732 4598680   32    0    32     0 8288 7866 84  5 11  0  0
10  0 17603372 7825836  10760 4598708   16    0    16   164 4131 7413 85  4 10  0  0
10  0 17603348 7694260  10776 4612076   16    0  6808    24 13333 13878 78  4 18  0  0
10  0 17603344 7528984  10840 4629672    0    0  8908   244 7566 9441 82  4 14  0  0
11  1 17603324 7379728  10888 4670008    0    0 19862   194 3747 7051 88  5  5  1  0
11  0 17603268 7034720  10940 4716548   32    0 23674     0 8760 9023 80  5 11  4  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 17603248 7026856  11000 4767080   32    0 25402   114 11317 11970 85  5  7  3  0
12  3 17603208 6812808  11072 4838420   16    0 35658     6 10170 10120 85  5  5  5  0
 2  0 17603204 6597424  11212 4948452    0    0 28556  8732 5711 8232 49  2 38 11  0
14  3 17603156 6369864  11344 5053720   32    0 29470    10 9167 9852 71  3 23  2  0
12  3 17603132 6131532  11396 5112164   16    0 28946 35260 1282 4776 91  3  4  1  0
10  1 17603132 5923436  11480 5178360    0    0 30046  6202 1407 5002 79  3 12  6  0
 3  0 17603096 5630748  11616 5296092   16    0 23784     8 1236 4086 52  2 42  5  0
 9  2 17603076 5547696  11708 5377212   16    0 28780 50504 5269 7475 53  2 38  7  0
 8  3 17603048 5385320  11780 5448972    0    0 35626     6 1324 4931 66  2 21 10  0
 3  0 17603024 5376600  11812 5456776   16    0  3732    84 1336 4103 32  1 67  0  0
 3  0 17603024 5301988  11812 5456912    0    0    64     0 1052 3263 16  0 84  0  0
 2  0 17602992 5276088  11840 5480944   32    0    32     0 3461 3185  8  0 91  0  0
 0  0 17602968 5248440  11884 5507572   16    0    16 25442 1162 3225  5  0 93  1  0
 0  0 17602944 5249680  11884 5507548   16    0    16    26 1061 3215  0  0 100  0  0
 0  0 17602920 5249620  11884 5507560   16    0    16     0 1021 3210  0  0 100  0  0
 0  0 17602916 5249132  11892 5507560    0    0     0    62 1940 3242  0  0 100  0  0
 0  0 17602884 5249012  11892 5507560    0    0     0   270 1088 3181  0  0 100  0  0
